ElectoralDistrictID,District,Bureau,Poste,Candidat,Partie,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes
11,11-Sault-au-Récollet,028,"0,00",DUVAL Jean,Indépendant,1,138,3,141
11,11-Sault-au-Récollet,028,"0,00",HU Fang,Indépendant,0,138,3,141
11,11-Sault-au-Récollet,028,"0,00",LE ROUGETEL Katy,Indépendant,0,138,3,141
11,11-Sault-au-Récollet,028,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,17,138,3,141
11,11-Sault-au-Récollet,028,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,38,138,3,141
11,11-Sault-au-Récollet,028,"0,00",KACOU Jean-François,Futur Montréal,5,138,3,141
11,11-Sault-au-Récollet,028,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,65,138,3,141
11,11-Sault-au-Récollet,028,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,12,138,3,141
11,11-Sault-au-Récollet,029,"0,00",DUVAL Jean,Indépendant,0,110,6,116
11,11-Sault-au-Récollet,029,"0,00",HU Fang,Indépendant,0,110,6,116
11,11-Sault-au-Récollet,029,"0,00",LE ROUGETEL Katy,Indépendant,0,110,6,116
11,11-Sault-au-Récollet,029,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,14,110,6,116
11,11-Sault-au-Récollet,029,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,37,110,6,116
11,11-Sault-au-Récollet,029,"0,00",KACOU Jean-François,Futur Montréal,4,110,6,116
11,11-Sault-au-Récollet,029,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,48,110,6,116
11,11-Sault-au-Récollet,029,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,7,110,6,116
11,11-Sault-au-Récollet,003,"0,00",DUVAL Jean,Indépendant,0,160,1,161
11,11-Sault-au-Récollet,003,"0,00",HU Fang,Indépendant,1,160,1,161
11,11-Sault-au-Récollet,003,"0,00",LE ROUGETEL Katy,Indépendant,0,160,1,161
11,11-Sault-au-Récollet,003,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,12,160,1,161
